Unnamed: 0,ano,nivel,tipo_contrato,cargo,salary,salary_currency,salario_usd,pais_profissional,remoto_ratio,pais_empresa,company_size,nivel_legivel,modalidade
191,2021,EN,FT,Machine Learning Engineer,21844,USD,21844,CO,50,CO,M,Júnior/Entry,Híbrido
192,2021,MI,FT,Big Data Engineer,18000,USD,18000,MD,0,MD,S,Pleno/Mid,Presencial
193,2021,SE,FT,Data Science Manager,174000,USD,174000,US,100,US,L,Sênior,Remoto
194,2021,SE,FT,Research Scientist,120500,CAD,96113,CA,50,CA,L,Sênior,Híbrido
195,2021,MI,FT,Data Scientist,147000,USD,147000,US,50,US,L,Pleno/Mid,Híbrido
196,2021,EN,FT,BI Data Analyst,9272,USD,9272,KE,100,KE,S,Júnior/Entry,Remoto
197,2021,SE,FT,Machine Learning Engineer,1799997,INR,24342,IN,100,IN,L,Sênior,Remoto
198,2021,SE,FT,Data Science Manager,4000000,INR,54094,IN,50,US,L,Sênior,Híbrido
199,2021,EN,FT,Data Science Consultant,90000,USD,90000,US,100,US,S,Júnior/Entry,Remoto
200,2021,MI,FT,Data Scientist,52000,EUR,61467,DE,50,AT,M,Pleno/Mid,Híbrido
201,2021,SE,FT,Machine Learning Infrastructure Engineer,195000,USD,195000,US,100,US,M,Sênior,Remoto
202,2021,MI,FT,Data Scientist,32000,EUR,37825,ES,100,ES,L,Pleno/Mid,Remoto
203,2021,SE,FT,Research Scientist,50000,USD,50000,FR,100,US,S,Sênior,Remoto
204,2021,MI,FT,Data Scientist,160000,USD,160000,US,100,US,L,Pleno/Mid,Remoto
205,2021,MI,FT,Data Scientist,69600,BRL,12901,BR,0,BR,S,Pleno/Mid,Presencial
206,2021,SE,FT,Machine Learning Engineer,200000,USD,200000,US,100,US,L,Sênior,Remoto
207,2021,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M,Sênior,Presencial
208,2021,MI,FL,Data Engineer,20000,USD,20000,IT,0,US,L,Pleno/Mid,Presencial
209,2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,0,US,L,Sênior,Presencial
210,2021,MI,FT,Machine Learning Engineer,21000,EUR,24823,SI,50,SI,L,Pleno/Mid,Híbrido
211,2021,MI,FT,Research Scientist,48000,EUR,56738,FR,50,FR,S,Pleno/Mid,Híbrido
